Complexity metrics,lun., 21 nov. 2022 04:34:27 EET
Method,CogC,ev(G),iv(G),v(G)
userinterface.UI,"1,23",3,16

Package,v(G)avg,v(G)tot
,"1,00",1
domain,"1,21",34
domain.validation,"1,71",12
repository.database,"2,79",39
repository.file,"2,00",26
repository.memory,"2,00",12
service,"2,89",55
userinterface,"2,85",37

Module,v(G)avg,v(G)tot
Retea de socializare,"2,14",216

Project,v(G)avg,v(G)tot
project,"2,14",216

